occurrenceID,identifier,dc:type,comments,dcterms:rights,CreateDate,captureDevice,resourceCreationTechnique,accessURI,dc:format,serviceExpectation
re_l_he_3_2023-10-08_0009_1,re_l_he_3_2023-10-08_0009.JPG,StillImage,,CC-BY4.0,2023-10-08T09:09:48Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-10-08_0009.JPG,image/jpeg,authenticate
re_l_he_3_2023-10-09_0009_1,re_l_he_3_2023-10-09_0009.JPG,StillImage,,CC-BY4.0,2023-10-09T00:01:08Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-10-09_0009.JPG,image/jpeg,authenticate
re_l_he_3_2023-10-10_0006_1,re_l_he_3_2023-10-10_0006.JPG,StillImage,,CC-BY4.0,2023-10-10T00:44:40Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-10-10_0006.JPG,image/jpeg,authenticate
re_l_he_3_2023-10-12_0019_1,re_l_he_3_2023-10-12_0019.JPG,StillImage,,CC-BY4.0,2023-10-12T15:12:59Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-10-12_0019.JPG,image/jpeg,authenticate
re_l_he_3_2023-10-13_0012_1,re_l_he_3_2023-10-13_0012.JPG,StillImage,,CC-BY4.0,2023-10-13T09:02:50Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-10-13_0012.JPG,image/jpeg,authenticate
re_l_he_3_2023-10-26_0004_1,re_l_he_3_2023-10-26_0004.JPG,StillImage,,CC-BY4.0,2023-10-26T07:30:00Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-10-26_0004.JPG,image/jpeg,authenticate
re_l_he_3_2023-10-26_0012_1,re_l_he_3_2023-10-26_0012.JPG,StillImage,,CC-BY4.0,2023-10-26T13:24:00Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-10-26_0012.JPG,image/jpeg,authenticate
re_l_he_3_2023-10-26_0014_1,re_l_he_3_2023-10-26_0014.JPG,StillImage,,CC-BY4.0,2023-10-26T18:50:51Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-10-26_0014.JPG,image/jpeg,authenticate
re_l_he_3_2023-11-05_0006_1,re_l_he_3_2023-11-05_0006.JPG,StillImage,,CC-BY4.0,2023-11-05T11:00:00Z,,time lapse,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-11-05_0006.JPG,image/jpeg,authenticate
re_l_he_3_2023-11-06_0011_1,re_l_he_3_2023-11-06_0011.JPG,StillImage,,CC-BY4.0,2023-11-06T06:54:21Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-11-06_0011.JPG,image/jpeg,authenticate
re_l_he_3_2023-12-10_0004_1,re_l_he_3_2023-12-10_0004.JPG,StillImage,,CC-BY4.0,2023-12-10T11:00:00Z,,time lapse,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-12-10_0004.JPG,image/jpeg,authenticate
